drug_name,num_prescriber,total_cost
HARVONI,2,1530612
SPIRIVA,24,781241
LANTUS SOLOSTAR,17,658526
LANTUS,16,623113
ARALAST NP,1,558310
ADVAIR DISKUS,25,549726
CRESTOR,31,489902
NEXIUM,23,437074
SYMBICORT,23,429551
PROLASTIN C,2,412889
NOVOLOG FLEXPEN,10,360657
LEVEMIR FLEXTOUCH,12,353526
ABILIFY,7,322145
JANUVIA,19,310088
LYRICA,16,297808
TECFIDERA,1,263130
HUMALOG KWIKPEN U-100,7,260356
XARELTO,16,249731
GLASSIA,1,238157
VICTOZA 3-PAK,5,211385
HUMALOG,7,205465
ELIQUIS,9,188724
TRADJENTA,5,186966
OXYCONTIN,9,176643
LEVOTHYROXINE SODIUM,41,164614
NOVOLOG,7,162691
LATUDA,4,160965
PROAIR HFA,33,159620
OFEV,1,150216
ZETIA,12,148340
HYDROCODONE-ACETAMINOPHEN,64,143109
VESICARE,14,138284
DULOXETINE HCL,28,138125
METOPROLOL SUCCINATE,44,131351
RESTASIS,5,129693
NAMENDA XR,10,129549
INVOKANA,9,127766
HETLIOZ,1,127730
GABAPENTIN,45,122125
PRADAXA,8,118505
RANEXA,8,117601
ATORVASTATIN CALCIUM,52,117589
XYREM,1,117322
LEVEMIR,5,117234
POTASSIUM CHLORIDE,34,116875
ATRIPLA,2,116580
COPAXONE,1,115936
ARIPIPRAZOLE,6,111673
STRIBILD,1,111594
COMBIVENT RESPIMAT,7,110767
NOVOLOG MIX 70-30 FLEXPEN,4,103917
INVEGA SUSTENNA,2,101752
TRACLEER,1,101662
OMEPRAZOLE,49,98541
ESBRIET,1,97155
LUMIGAN,8,96007
LIDOCAINE,5,92796
NAMENDA,9,92067
ORENITRAM ER,1,86469
OXYCODONE-ACETAMINOPHEN,32,85727
TAMSULOSIN HCL,33,84740
LINZESS,8,84715
TRUVADA,1,83236
PRAVASTATIN SODIUM,33,81581
CHLORPROMAZINE HCL,3,78953
DIVALPROEX SODIUM ER,6,78811
OMEGA-3 ACID ETHYL ESTERS,12,75631
SPIRIVA RESPIMAT,3,75513
AMITIZA,8,75401
HUMIRA PEN,2,73311
SEROQUEL XR,6,73135
CELECOXIB,18,71778
HUMULIN R U-500,1,71044
SENSIPAR,2,68976
FENOFIBRATE,35,66977
EXELON,6,65530
MODAFINIL,3,64552
TRAVATAN Z,7,64282
MYRBETRIQ,6,60919
ULORIC,4,59986
BYSTOLIC,12,58891
DEXILANT,7,58845
RENVELA,1,58781
BENICAR,9,57330
ASACOL HD,4,57122
LISINOPRIL,56,55834
WELCHOL,5,55570
TUDORZA PRESSAIR,5,55415
SIMVASTATIN,44,54913
CREON,5,51501
VALSARTAN,20,49436
AMLODIPINE BESYLATE,53,49019
FINASTERIDE,15,48745
MULTAQ,4,48045
PREDNISOLONE ACETATE,8,47995
LOSARTAN POTASSIUM,42,47910
CLOPIDOGREL,35,47689
VALGANCICLOVIR HCL,1,46708
VOLTAREN,12,46373
URSODIOL,4,46199
MONTELUKAST SODIUM,26,46083
KETOPROFEN,1,45838
CUBICIN,1,44597
FLOVENT HFA,8,44572
XIFAXAN,1,44530
PREZISTA,1,43674
BD ULTRA-FINE PEN NEEDLE,16,43508
COMBIGAN,6,43129
EPZICOM,2,43125
COMPLERA,1,43121
REYATAZ,1,42961
ONGLYZA,6,42178
WARFARIN SODIUM,28,42164
DONEPEZIL HCL,26,42031
FENTANYL,10,42025
NEVANAC,1,41327
DALIRESP,2,40675
ESOMEPRAZOLE MAGNESIUM,10,40420
XGEVA,1,40230
PREMARIN,7,40199
QUETIAPINE FUMARATE,23,39656
GAMUNEX-C,1,39561
HUMULIN 70-30,7,38841
PANTOPRAZOLE SODIUM,44,38691
BUDESONIDE EC,2,38613
SYNTHROID,20,38470
FUROSEMIDE,44,38215
VENTOLIN HFA,15,37457
CARVEDILOL,35,37066
CLOBETASOL PROPIONATE,5,36726
WELLBUTRIN XL,1,36671
ANORO ELLIPTA,3,35093
APIDRA SOLOSTAR,2,34884
BENICAR HCT,7,34773
MORPHINE SULFATE ER,9,34694
COLCRYS,5,34621
DOXYCYCLINE HYCLATE,14,34494
DULERA,6,34372
OXYCODONE HCL,23,34181
AGGRENOX,4,33784
METFORMIN HCL,37,32793
METOPROLOL TARTRATE,44,32480
JANUMET XR,2,32466
EFFIENT,5,32135
NOVOLIN 70-30,5,31913
LIDOCAINE-PRILOCAINE,4,31476
TOUJEO SOLOSTAR,2,31197
TOLTERODINE TARTRATE ER,7,30934
METFORMIN HCL ER,20,30694
HUMULIN N,2,30676
FLUTICASONE PROPIONATE,30,29711
ALLOPURINOL,29,29425
NOVOLIN R,7,29187
FLUOROURACIL,4,28800
JANUMET,3,28788
VALSARTAN-HYDROCHLOROTHIAZIDE,18,28675
RAPAFLO,4,28608
NUVIGIL,1,28471
ALPRAZOLAM,27,28393
NASONEX,5,28369
ATROVENT HFA,5,28332
LEVETIRACETAM,13,28009
FORTEO,1,27801
ZYPREXA,1,27758
DIVALPROEX SODIUM,16,27522
LATANOPROST,14,27397
DILTIAZEM 24HR ER,14,27393
OXYBUTYNIN CHLORIDE ER,16,26888
CARBAMAZEPINE,10,26681
OPANA ER,1,26674
PENTASA,1,26434
PRISTIQ ER,3,26298
TIZANIDINE HCL,16,26180
CLONIDINE,6,26136
RALOXIFENE HCL,6,25956
ISOSORBIDE MONONITRATE ER,25,25754
MYCOPHENOLATE MOFETIL,2,25725
SUPREP,3,25596
BREO ELLIPTA,2,25129
VENLAFAXINE HCL ER,20,24804
RENAGEL,1,24647
AZOR,3,24363
NOVOLIN N,4,24286
FORADIL,3,24105
INVEGA,1,23988
SILDENAFIL,3,23791
LIDODERM,2,23416
ZIPRASIDONE HCL,7,23278
GATIFLOXACIN,2,22713
TACROLIMUS,1,22547
PREZCOBIX,1,22363
ADVAIR HFA,3,22331
FARXIGA,3,22209
VIMPAT,2,22055
ENALAPRIL MALEATE,20,21860
MIRTAZAPINE,21,21486
ZOLPIDEM TARTRATE,30,21371
ISENTRESS,1,21124
FLUOXETINE HCL,28,21104
TIMOLOL MALEATE,8,20848
BUMETANIDE,9,20830
SERTRALINE HCL,34,20775
HYDROCHLOROTHIAZIDE,39,20576
CALCITRIOL,5,20531
BUPROPION XL,17,20098
RANITIDINE HCL,24,19716
QVAR,5,19715
AZOPT,4,19646
ISOSORBIDE DINITRATE,6,19645
KLOR-CON M20,19,19583
DILTIAZEM 24HR CD,16,19527
DUREZOL,3,19517
POLYETHYLENE GLYCOL 3350,18,19470
VYTORIN,2,18981
SUMATRIPTAN SUCCINATE,11,18932
NIACIN ER,5,18904
ESCITALOPRAM OXALATE,23,18844
RISPERIDONE,16,18763
JENTADUETO,1,18752
TRAZODONE HCL,36,18747
HUMULIN R,5,18708
DIGOXIN,15,18553
LOTEMAX,1,18537
ENOXAPARIN SODIUM,2,18424
TAMIFLU,4,18233
PATADAY,4,18223
